model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,kv_bytes_c0,kv_bytes_fp16_c0,score_c1,cr_c1,kv_bytes_c1,kv_bytes_fp16_c1,score_c2,cr_c2,kv_bytes_c2,kv_bytes_fp16_c2,score_c3,cr_c3,kv_bytes_c3,kv_bytes_fp16_c3,score_c4,cr_c4,kv_bytes_c4,kv_bytes_fp16_c4,score_c5,cr_c5,kv_bytes_c5,kv_bytes_fp16_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
phi3,2wikimqa,0,qa_f1,8168,28692,9.0838,0.4218,0.2416,0.9997,0.0066,0.0,1.0,804519936.0,804519936.0,0.0,10.6788,75337728.0,804519936.0,0.0,4.6302,173755231.7,804519936.0,0.0,3.2115,250509024.0,804519936.0,0.0,3.761,213909504.0,804519936.0,0.0,3.761,213909504.0,804519936.0,C0,0.0,C1,C1,C1
phi3,2wikimqa,1,qa_f1,17806,62672,9.2774,0.3981,0.1838,0.9999,0.0057,0.0,1.0,804519936.0,804519936.0,0.0,10.6234,75730944.0,804519936.0,0.0,4.6261,173908936.7,804519936.0,0.0,3.3482,240285408.0,804519936.0,0.0,3.9498,203685888.0,804519936.0,0.0,3.9498,203685888.0,804519936.0,C0,0.0,C1,C1,C1
phi3,2wikimqa,2,qa_f1,4605,17129,8.5506,0.4018,0.2836,0.9995,0.0109,0.0,1.0,804519936.0,804519936.0,0.0,10.7349,74944512.0,804519936.0,0.0,4.6284,173821882.2,804519936.0,0.0,3.3264,241858272.0,804519936.0,0.0,3.9651,202899456.0,804519936.0,0.0,3.9195,205258752.0,804519936.0,C0,0.0,C1,C1,C1
phi3,2wikimqa,3,qa_f1,8182,26490,8.3222,0.3843,0.1798,0.9997,0.008,0.363636,1.0,804519936.0,804519936.0,0.5,10.1997,78876672.0,804519936.0,0.5,4.6255,173931192.6,804519936.0,0.363636,3.3318,241465056.0,804519936.0,0.5,3.8897,206831616.0,804519936.0,0.5,3.9046,206045184.0,804519936.0,C1,0.5,C1,C1,C1
phi3,2wikimqa,4,qa_f1,7993,30077,9.0498,0.4025,0.246,0.9997,0.0051,0.0,1.0,804519936.0,804519936.0,0.0,10.5685,76124160.0,804519936.0,0.0,4.6333,173639512.4,804519936.0,0.0,3.3427,240678624.0,804519936.0,0.0,3.9422,204079104.0,804519936.0,0.0,3.9422,204079104.0,804519936.0,C0,0.0,C1,C1,C1
phi3,2wikimqa,5,qa_f1,16853,63474,9.3287,0.3858,0.1916,0.9999,0.0045,0.0,1.0,804519936.0,804519936.0,0.0,10.6234,75730944.0,804519936.0,0.0,4.6227,174036299.9,804519936.0,0.0,3.3427,240678624.0,804519936.0,0.0,3.9422,204079104.0,804519936.0,0.0,3.9422,204079104.0,804519936.0,C0,0.0,C1,C1,C1
phi3,2wikimqa,6,qa_f1,13035,48092,9.2182,0.403,0.2133,0.9998,0.0044,0.0,1.0,804519936.0,804519936.0,0.0,10.5142,76517376.0,804519936.0,0.0,4.6301,173757898.8,804519936.0,0.0,3.3592,239498976.0,804519936.0,0.0,3.9651,202899456.0,804519936.0,0.0,3.9651,202899456.0,804519936.0,C0,0.0,C1,C1,C1
phi3,2wikimqa,7,qa_f1,7219,26363,8.8367,0.3937,0.2352,0.9997,0.0077,0.0,1.0,804519936.0,804519936.0,0.0,10.5142,76517376.0,804519936.0,0.0,4.6302,173756042.8,804519936.0,0.0,3.3049,243431136.0,804519936.0,0.0,3.8531,208797696.0,804519936.0,0.0,3.8531,208797696.0,804519936.0,C0,0.0,C1,C1,C1
phi3,2wikimqa,8,qa_f1,6684,22599,8.8354,0.4226,0.2564,0.9996,0.0102,0.0,1.0,804519936.0,804519936.0,0.0,10.5142,76517376.0,804519936.0,0.0,4.6257,173925106.9,804519936.0,0.0,3.3373,241071840.0,804519936.0,0.0,3.9346,204472320.0,804519936.0,0.0,3.9346,204472320.0,804519936.0,C0,0.0,C1,C1,C1
phi3,2wikimqa,9,qa_f1,10137,36479,9.4949,0.4232,0.2575,0.9998,0.0089,0.0,1.0,804519936.0,804519936.0,0.0,10.5142,76517376.0,804519936.0,0.0,4.6351,173571663.9,804519936.0,0.0,3.3373,241071840.0,804519936.0,0.0,3.9346,204472320.0,804519936.0,0.0,3.9346,204472320.0,804519936.0,C0,0.0,C1,C1,C1
phi3,2wikimqa,10,qa_f1,7588,26415,9.3065,0.4482,0.2909,0.9997,0.0083,0.0,1.0,804519936.0,804519936.0,0.0,10.6788,75337728.0,804519936.0,0.0,4.6303,173750382.7,804519936.0,0.0,3.3592,239498976.0,804519936.0,0.0,3.9651,202899456.0,804519936.0,0.0,3.9651,202899456.0,804519936.0,C0,0.0,C1,C1,C1
phi3,2wikimqa,11,qa_f1,7733,24808,9.0608,0.3527,0.2211,0.9996,0.0123,1.0,1.0,804519936.0,804519936.0,1.0,10.6234,75730944.0,804519936.0,1.0,4.6313,173712589.4,804519936.0,1.0,3.3482,240285408.0,804519936.0,1.0,3.9498,203685888.0,804519936.0,1.0,3.9498,203685888.0,804519936.0,C0,1.0,C1,C1,C1
phi3,2wikimqa,12,qa_f1,4993,16191,8.7184,0.4612,0.3168,0.9994,0.0146,0.8,1.0,804519936.0,804519936.0,0.8,10.7349,74944512.0,804519936.0,1.0,4.6103,174506441.5,804519936.0,0.8,3.3592,239498976.0,804519936.0,0.8,3.9651,202899456.0,804519936.0,0.8,3.9651,202899456.0,804519936.0,C2,1.0,C1,C1,C1
phi3,2wikimqa,13,qa_f1,16231,59643,9.0801,0.3694,0.1724,0.9998,0.005,0.0,1.0,804519936.0,804519936.0,0.0,10.6788,75337728.0,804519936.0,0.0,4.6219,174065742.8,804519936.0,0.0,3.3537,239892192.0,804519936.0,0.0,3.9574,203292672.0,804519936.0,0.0,3.9574,203292672.0,804519936.0,C0,0.0,C1,C1,C1
phi3,2wikimqa,14,qa_f1,7091,22292,8.9722,0.4388,0.242,0.9996,0.0082,0.0,1.0,804519936.0,804519936.0,0.0,10.4605,76910592.0,804519936.0,0.0,4.6215,174083587.8,804519936.0,0.0,3.3049,243431136.0,804519936.0,0.0,3.8971,206438400.0,804519936.0,0.0,3.8897,206831616.0,804519936.0,C0,0.0,C1,C1,C1
phi3,2wikimqa,15,qa_f1,5860,20096,7.8153,0.3382,0.1797,0.9996,0.0043,0.0,1.0,804519936.0,804519936.0,0.0,10.6788,75337728.0,804519936.0,0.0,4.6236,174002183.2,804519936.0,0.0,3.3482,240285408.0,804519936.0,0.0,3.9498,203685888.0,804519936.0,0.0,3.9498,203685888.0,804519936.0,C0,0.0,C1,C1,C1
phi3,2wikimqa,16,qa_f1,16595,61863,9.2581,0.3833,0.189,0.9999,0.0047,0.0,1.0,804519936.0,804519936.0,0.0,10.6788,75337728.0,804519936.0,0.0,4.6301,173759871.1,804519936.0,0.0,3.3373,241071840.0,804519936.0,0.0,3.9651,202899456.0,804519936.0,0.0,3.761,213909504.0,804519936.0,C0,0.0,C1,C1,C1
phi3,2wikimqa,17,qa_f1,6314,22652,9.033,0.4276,0.2932,0.9996,0.0079,0.0,1.0,804519936.0,804519936.0,0.0,9.8558,81629184.0,804519936.0,0.0,4.629,173799143.3,804519936.0,0.0,3.3264,241858272.0,804519936.0,0.0,3.875,207618048.0,804519936.0,0.0,3.875,207618048.0,804519936.0,C0,0.0,C1,C1,C1
phi3,2wikimqa,18,qa_f1,7177,24101,8.9108,0.4376,0.2745,0.9996,0.0093,0.0,1.0,804519936.0,804519936.0,0.0,10.6234,75730944.0,804519936.0,0.0,4.6246,173965047.8,804519936.0,0.0,3.3482,240285408.0,804519936.0,0.0,3.9498,203685888.0,804519936.0,0.0,3.9498,203685888.0,804519936.0,C0,0.0,C1,C1,C1
phi3,2wikimqa,19,qa_f1,10746,36831,8.9311,0.4129,0.2138,0.9998,0.0094,0.0,1.0,804519936.0,804519936.0,0.0,10.5142,76517376.0,804519936.0,0.086957,4.6253,173938395.3,804519936.0,0.181818,3.2115,250509024.0,804519936.0,0.0,3.761,213909504.0,804519936.0,0.0,3.761,213909504.0,804519936.0,C3,0.181818,C1,C1,C1
