model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,score_c1,cr_c1,score_c2,cr_c2,score_c3,cr_c3,score_c4,cr_c4,score_c5,cr_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
llama32_3b,2wikimqa,0,f1,7070,28692,9.2384,0.4218,0.2836,0.9997,0.0066,0.0,1.0,0.0,38.0549,0.0,5.4672,0.0,3.412,0.0,6.9043,0.0,6.9043,C0,0.0,C1,C1,C1
llama32_3b,2wikimqa,1,f1,14710,62672,9.5357,0.3981,0.2328,0.9999,0.0057,1.0,1.0,1.0,40.3694,1.0,5.4738,1.0,3.412,1.0,7.3242,1.0,7.3242,C0,1.0,C1,C1,C1
llama32_3b,2wikimqa,2,f1,4009,17129,8.6992,0.4018,0.3173,0.9995,0.0109,0.0,1.0,0.0,21.5788,0.0,5.4295,0.0,3.412,0.0,3.915,0.0,3.915,C0,0.0,C1,C1,C1
llama32_3b,2wikimqa,3,f1,6890,26490,8.6988,0.3843,0.2244,0.9997,0.008,0.181818,1.0,0.0,37.0861,0.181818,5.4521,0.181818,3.412,0.181818,6.7285,0.181818,6.7285,C0,0.181818,C4,C4,C4
llama32_3b,2wikimqa,4,f1,7010,30077,9.1558,0.4025,0.2845,0.9997,0.0051,0.0,1.0,0.0,37.732,0.0,5.451,0.0,3.412,0.0,6.8457,0.0,6.8457,C0,0.0,C1,C1,C1
llama32_3b,2wikimqa,5,f1,14559,63474,9.451,0.3858,0.2337,0.9999,0.0045,0.0,1.0,0.0,40.3694,0.0,5.4592,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
llama32_3b,2wikimqa,6,f1,10916,48092,9.3894,0.403,0.2615,0.9998,0.0044,1.0,1.0,0.0,40.3694,1.0,5.4642,1.0,3.412,1.0,7.3242,1.0,7.3242,C0,1.0,C4,C4,C4
llama32_3b,2wikimqa,7,f1,6227,26363,8.9573,0.3937,0.2685,0.9997,0.0077,0.0,1.0,0.0,33.5174,0.0,5.4605,0.0,3.412,0.0,6.0811,0.0,6.0811,C0,0.0,C1,C1,C1
llama32_3b,2wikimqa,8,f1,5479,22599,9.1511,0.4226,0.3209,0.9996,0.0102,0.0,1.0,0.0,29.4912,0.0,5.4416,0.0,3.412,0.0,5.3506,0.0,5.3506,C0,0.0,C1,C1,C1
llama32_3b,2wikimqa,9,f1,8532,36479,9.5704,0.4232,0.3131,0.9998,0.0089,1.0,1.0,1.0,40.3694,1.0,5.4698,1.0,3.412,1.0,7.3242,1.0,7.3242,C0,1.0,C1,C1,C1
llama32_3b,2wikimqa,10,f1,6391,26415,9.4373,0.4482,0.3472,0.9997,0.0083,1.0,1.0,0.0,34.4001,1.0,5.4605,1.0,3.412,1.0,6.2412,1.0,6.2412,C0,1.0,C4,C4,C4
llama32_3b,2wikimqa,11,f1,6360,24808,9.2092,0.3527,0.2704,0.9996,0.0123,1.0,1.0,1.0,34.2333,1.0,5.4353,1.0,3.412,1.0,6.2109,1.0,6.2109,C0,1.0,C1,C1,C1
llama32_3b,2wikimqa,12,f1,3984,16191,9.0796,0.4612,0.3898,0.9994,0.0146,0.8,1.0,0.8,21.4442,0.8,5.4239,0.8,3.412,0.8,3.8906,0.8,3.8906,C0,0.8,C1,C1,C1
llama32_3b,2wikimqa,13,f1,13857,59643,9.3056,0.3694,0.2105,0.9998,0.005,1.0,1.0,1.0,40.3694,1.0,5.4701,1.0,3.412,1.0,7.3242,1.0,7.3242,C0,1.0,C1,C1,C1
llama32_3b,2wikimqa,14,f1,5994,22292,9.2193,0.4388,0.2995,0.9996,0.0082,0.5,1.0,0.5,32.2633,0.5,5.4261,0.5,3.412,0.5,5.8535,0.5,5.8535,C0,0.5,C1,C1,C1
llama32_3b,2wikimqa,15,f1,5071,20096,7.9043,0.3382,0.2041,0.9996,0.0043,0.333333,1.0,0.333333,27.2951,0.333333,5.4331,0.333333,3.412,0.333333,4.9521,0.333333,4.9521,C0,0.333333,C1,C1,C1
llama32_3b,2wikimqa,16,f1,14271,61863,9.4106,0.3833,0.231,0.9999,0.0047,0.0,1.0,0.0,40.3694,0.0,5.4615,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
llama32_3b,2wikimqa,17,f1,5211,22652,9.2454,0.4276,0.3514,0.9996,0.0079,0.0,1.0,0.0,28.0487,0.0,5.4459,0.0,3.412,0.0,5.0889,0.0,5.0889,C0,0.0,C1,C1,C1
llama32_3b,2wikimqa,18,f1,5788,24101,9.2209,0.4376,0.343,0.9996,0.0093,0.666667,1.0,0.0,31.1544,0.666667,5.4447,0.666667,3.412,0.666667,5.6523,0.666667,5.6523,C0,0.666667,C4,C4,C4
llama32_3b,2wikimqa,19,f1,9035,36831,9.3129,0.4129,0.2614,0.9998,0.0094,1.0,1.0,1.0,40.3694,1.0,5.4561,1.0,3.412,1.0,7.3242,1.0,7.3242,C0,1.0,C1,C1,C1
llama32_3b,gov_report,0,rouge1,10697,53640,8.4731,0.283,0.1465,0.6293,0.0001,0.489247,1.0,0.215827,40.3694,0.501408,5.4423,0.502703,3.412,0.380665,7.3242,0.366972,7.3242,C3,0.502703,C2,C2,C2
llama32_3b,gov_report,1,rouge1,18663,92252,9.0928,0.3043,0.1485,0.9202,0.0001,0.62259,1.0,0.248366,40.3694,0.342679,5.4514,0.594118,3.412,0.33241,7.3242,0.435331,7.3242,C0,0.62259,C0,C3,C3
llama32_3b,gov_report,2,rouge1,7737,38930,8.184,0.2741,0.1638,,0.0002,0.562674,1.0,0.297735,40.3694,0.534483,5.4513,0.449735,3.412,0.31003,7.3242,0.378223,7.3242,C0,0.562674,C0,C0,C2
llama32_3b,gov_report,3,rouge1,2656,13938,8.2162,0.3637,0.2925,,0.0005,0.420233,1.0,0.3,14.2962,0.432,5.3952,0.418605,3.412,0.40678,2.5938,0.421053,2.5938,C2,0.432,C2,C2,C2
