model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,score_c1,cr_c1,score_c2,cr_c2,score_c3,cr_c3,score_c4,cr_c4,score_c5,cr_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
llama3,2wikimqa,10,f1,6391,26415,9.4373,0.4482,0.3472,0.9997,0.0083,1.0,1.0,1.0,34.2561,1.0,5.4039,1.0,3.412,1.0,6.2412,1.0,6.2412,C0,1.0,C1,C1,C1
llama3,2wikimqa,11,f1,6360,24808,9.2092,0.3527,0.2704,0.9996,0.0123,0.857143,1.0,0.857143,34.0899,0.857143,5.3859,0.857143,3.412,0.857143,6.2109,0.857143,6.2109,C0,0.857143,C1,C1,C1
llama3,2wikimqa,12,f1,3984,16191,9.0796,0.4612,0.3898,0.9994,0.0146,0.0,1.0,0.0,21.3544,0.0,5.3621,0.0,3.412,0.0,3.8906,0.0,3.8906,C0,0.0,C1,C1,C1
llama3,2wikimqa,13,f1,13857,59643,9.3056,0.3694,0.2105,0.9998,0.005,0.0,1.0,0.0,40.2003,0.0,5.4132,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
llama3,2wikimqa,14,f1,5994,22292,9.2193,0.4388,0.2995,0.9996,0.0082,0.5,1.0,0.5,32.1281,0.5,5.3782,0.5,3.412,0.5,5.8535,0.5,5.8535,C0,0.5,C1,C1,C1
llama3,2wikimqa,15,f1,5071,20096,7.9043,0.3382,0.2041,0.9996,0.0043,0.0,1.0,0.0,27.1808,0.0,5.3684,0.0,3.412,0.0,4.9521,0.0,4.9521,C0,0.0,C1,C1,C1
llama3,2wikimqa,16,f1,14271,61863,9.4106,0.3833,0.231,0.9999,0.0047,0.0,1.0,0.0,40.2003,0.0,5.4083,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
llama3,2wikimqa,17,f1,5211,22652,9.2454,0.4276,0.3514,0.9996,0.0079,0.0,1.0,0.0,27.9312,0.0,5.3806,0.0,3.412,0.0,5.0889,0.0,5.0889,C0,0.0,C1,C1,C1
llama3,2wikimqa,18,f1,5788,24101,9.2209,0.4376,0.343,0.9996,0.0093,0.0,1.0,0.0,31.0239,0.0,5.3835,0.0,3.412,0.0,5.6523,0.0,5.6523,C0,0.0,C1,C1,C1
llama3,2wikimqa,19,f1,9035,36831,9.3129,0.4129,0.2614,0.9998,0.0094,1.0,1.0,1.0,40.2003,1.0,5.3983,1.0,3.412,1.0,7.3242,1.0,7.3242,C0,1.0,C1,C1,C1
llama3,gov_report,0,rouge1,10697,53640,8.4731,0.283,0.1465,0.6293,0.0001,0.395904,1.0,0.29078,40.2003,0.347826,5.3879,0.391753,3.412,0.304965,7.3242,0.289963,7.3242,C0,0.395904,C0,C3,C3
llama3,gov_report,1,rouge1,18663,92252,9.0928,0.3043,0.1485,0.9202,0.0001,0.512346,1.0,0.247191,40.2003,0.285714,5.4098,0.433962,3.412,0.27758,7.3242,0.277027,7.3242,C0,0.512346,C0,C0,C0
