model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,score_c1,cr_c1,score_c2,cr_c2,score_c3,cr_c3,score_c4,cr_c4,score_c5,cr_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
llama31_8b,gov_report,5,rouge1,8962,43358,8.4292,0.2968,0.1599,,0.0002,0.47352,1.0,0.264808,40.2012,0.488235,5.3869,0.525994,3.412,0.392982,7.3242,0.349835,7.3242,C3,0.525994,C2,C2,C2
llama31_8b,gov_report,6,rouge1,8151,46529,8.5585,0.2849,0.1759,0.8959,0.0002,0.473171,1.0,0.232955,40.2012,0.449086,5.3937,0.474328,3.412,0.350133,7.3242,0.302703,7.3242,C3,0.474328,C3,C3,C2
llama31_8b,gov_report,7,rouge1,6381,34367,8.2872,0.29,0.1783,,0.0002,0.443439,1.0,0.192118,34.2032,0.396088,5.3703,0.428904,3.412,0.274419,6.2314,0.31,6.2314,C0,0.443439,C0,C3,C3
llama31_8b,gov_report,8,rouge1,2810,14349,7.8916,0.3348,0.2456,,0.0005,0.42,1.0,0.242775,15.062,0.4,5.3166,0.382429,3.412,0.350404,2.7441,0.368984,2.7441,C0,0.42,C0,C2,C2
llama31_8b,gov_report,9,rouge1,20394,102565,8.8963,0.2931,0.1259,,0.0001,0.295681,1.0,0.236749,40.2012,0.296928,5.3937,0.292845,3.412,0.276339,7.3242,0.273038,7.3242,C2,0.296928,C2,C2,C4
llama31_8b,gov_report,10,rouge1,6081,32826,8.5808,0.3445,0.2529,0.2857,0.0002,0.335616,1.0,0.272727,32.5951,0.313869,5.3818,0.322368,3.412,0.329502,5.9385,0.368056,5.9385,C5,0.368056,C5,C4,C4
llama31_8b,gov_report,11,rouge1,4186,19201,8.1371,0.3423,0.2121,,0.0004,0.447761,1.0,0.303342,22.4376,0.400943,5.3484,0.454106,3.412,0.293059,4.0879,0.334152,4.0879,C3,0.454106,C3,C3,C3
llama31_8b,gov_report,12,rouge1,6736,38155,8.6379,0.3184,0.2199,,0.0002,0.390698,1.0,0.212121,36.106,0.4,5.3782,0.435443,3.412,0.306452,6.5781,0.306069,6.5781,C3,0.435443,C2,C2,C2
llama31_8b,gov_report,13,rouge1,4632,24989,8.109,0.3122,0.2118,,0.0003,0.392371,1.0,0.262391,24.8282,0.389831,5.3469,0.378082,3.412,0.321429,4.5234,0.333333,4.5234,C0,0.392371,C2,C2,C2
llama31_8b,gov_report,14,rouge1,5712,27046,8.6594,0.3681,0.2509,0.9979,0.0003,0.351351,1.0,0.160194,30.6172,0.346847,5.3811,0.395455,3.412,0.308789,5.5781,0.270142,5.5781,C3,0.395455,C3,C2,C2
llama31_8b,gov_report,15,rouge1,5718,30185,8.7252,0.3677,0.2854,0.993,0.0002,0.268456,1.0,0.191235,30.6494,0.34386,5.3746,0.385135,3.412,0.261484,5.584,0.262976,5.584,C3,0.385135,C2,C4,C4
llama31_8b,gov_report,16,rouge1,4218,22425,8.4086,0.3415,0.275,0.9084,0.0003,0.436782,1.0,0.337423,22.6091,0.446328,5.3544,0.435262,3.412,0.396552,4.1191,0.380665,4.1191,C2,0.446328,C2,C2,C2
llama31_8b,gov_report,17,rouge1,18156,95443,8.6124,0.2647,0.1212,0.949,0.0001,0.393782,1.0,0.256831,40.2012,0.385475,5.3852,0.367758,3.412,0.332394,7.3242,0.296736,7.3242,C0,0.393782,C0,C2,C2
llama31_8b,gov_report,18,rouge1,4627,22492,8.203,0.3152,0.2083,,0.0003,0.542056,1.0,0.402778,24.8014,0.531722,5.3622,0.539185,3.412,0.472131,4.5186,0.472973,4.5186,C0,0.542056,C3,C2,C2
llama31_8b,gov_report,19,rouge1,2818,15225,8.2116,0.3663,0.3034,,0.0005,0.382022,1.0,0.231156,15.1049,0.40991,5.3204,0.385965,3.412,0.276029,2.752,0.32,2.752,C2,0.40991,C2,C2,C2
llama31_8b,hotpotqa,0,f1,11345,54414,9.3786,0.3765,0.2538,0.9998,0.0039,0.333333,1.0,0.333333,40.2012,0.181818,5.416,0.333333,3.412,0.333333,7.3242,0.333333,7.3242,C0,0.333333,C1,C1,C1
llama31_8b,hotpotqa,1,f1,16253,72455,9.3354,0.3635,0.2117,0.9999,0.003,0.0,1.0,0.0,40.2012,0.0,5.4166,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
llama31_8b,hotpotqa,2,f1,11033,48472,9.5235,0.4002,0.2607,0.9998,0.0059,1.0,1.0,0.666667,40.2012,1.0,5.4084,1.0,3.412,1.0,7.3242,1.0,7.3242,C0,1.0,C4,C4,C4
llama31_8b,hotpotqa,3,f1,16339,77553,9.7124,0.3832,0.2529,0.9999,0.0046,0.0,1.0,0.0,40.2012,0.0,5.4053,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
