model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,kv_bytes_c0,kv_bytes_fp16_c0,score_c1,cr_c1,kv_bytes_c1,kv_bytes_fp16_c1,score_c2,cr_c2,kv_bytes_c2,kv_bytes_fp16_c2,score_c3,cr_c3,kv_bytes_c3,kv_bytes_fp16_c3,score_c4,cr_c4,kv_bytes_c4,kv_bytes_fp16_c4,score_c5,cr_c5,kv_bytes_c5,kv_bytes_fp16_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
llama3,2wikimqa,15,qa_f1,5071,20096,7.9043,0.3382,0.2041,0.9996,0.0043,0.0,1.0,666501120.0,666501120.0,0.0,26.6842,24977408.0,666501120.0,0.0,4.5939,145082581.1,666501120.0,0.0,3.4044,195778528.0,666501120.0,0.0,4.9465,134742016.0,666501120.0,0.0,4.9465,134742016.0,666501120.0,C0,0.0,C1,C1,C1
llama3,2wikimqa,16,qa_f1,14271,61863,9.4106,0.3833,0.231,0.9999,0.0047,0.0,1.0,985661440.0,985661440.0,0.0,36.9272,26681344.0,985268224.0,0.0,4.6232,213198431.1,985661440.0,0.0,3.3892,290828288.0,985661440.0,0.0,7.2031,136839168.0,985661440.0,0.0,7.2031,136839168.0,985661440.0,C0,0.0,C1,C1,C1
llama3,2wikimqa,17,qa_f1,5211,22652,9.2454,0.4276,0.3514,0.9996,0.0079,0.0,1.0,688390144.0,688390144.0,0.0,27.1444,25239552.0,685113344.0,0.0,4.6026,149566535.6,688390144.0,0.0,3.3617,204815264.0,688521216.0,0.0,4.9744,138412032.0,688521216.0,0.0,4.9744,138412032.0,688521216.0,C0,0.0,C1,C1,C1
llama3,2wikimqa,18,qa_f1,5788,24101,9.2209,0.4376,0.343,0.9996,0.0093,0.0,1.0,760217600.0,760217600.0,0.0,30.759,24715264.0,760217600.0,0.0,4.605,165084996.2,760217600.0,0.0,3.4073,223116416.0,760217600.0,0.0,5.653,134479872.0,760217600.0,0.0,5.653,134479872.0,760217600.0,C0,0.0,C1,C1,C1
llama3,2wikimqa,19,qa_f1,9035,36831,9.3129,0.4129,0.2614,0.9998,0.0094,1.0,1.0,983564288.0,983564288.0,1.0,39.3782,24977408.0,983564288.0,1.0,4.6158,213084554.5,983564288.0,1.0,3.4065,288731136.0,983564288.0,1.0,7.2996,134742016.0,983564288.0,1.0,7.2996,134742016.0,983564288.0,C0,1.0,C1,C1,C1
llama3,gov_report,0,rouge_l,10697,53640,8.4731,0.283,0.1465,0.6293,0.0001,0.303406,1.0,1021050880.0,1021050880.0,0.206452,18.7699,53944320.0,1012531200.0,0.297872,4.6097,220165555.6,1014890496.0,0.259494,3.1648,320974848.0,1015808000.0,0.228571,5.8802,173932544.0,1022754816.0,0.247492,6.2908,160432128.0,1009254400.0,C0,0.303406,C0,C2,C2
llama3,gov_report,1,rouge_l,18663,92252,9.0928,0.3043,0.1485,0.9202,0.0001,0.485714,1.0,1031143424.0,1031143424.0,0.201389,20.7894,48439296.0,1007026176.0,0.359862,4.6239,220678431.1,1020395520.0,0.494444,3.0636,336703488.0,1031536640.0,0.222222,6.248,161742848.0,1010565120.0,0.228188,6.0912,166723584.0,1015545856.0,C3,0.494444,C3,C3,C3
llama3,gov_report,2,rouge_l,7737,38930,8.184,0.2741,0.1638,,0.0002,0.332518,1.0,1029308416.0,1029308416.0,0.214286,18.2258,55648256.0,1014235136.0,0.35567,4.6199,221692156.6,1024196608.0,0.41206,3.0725,335261696.0,1030094848.0,0.259459,5.9854,170262528.0,1019084800.0,0.311224,5.6792,181403648.0,1030225920.0,C3,0.41206,C2,C2,C5
llama3,gov_report,3,rouge_l,2656,13938,8.2162,0.3637,0.2925,,0.0005,0.38247,1.0,389939200.0,389939200.0,0.208333,7.3322,51322880.0,376307712.0,0.439024,4.5724,85912326.1,392822784.0,0.382812,2.6905,146098560.0,393084928.0,0.292035,2.2611,170655744.0,385875968.0,0.334728,2.2383,173801472.0,389021696.0,C2,0.439024,C2,C2,C2
llama3,gov_report,4,rouge_l,13262,65941,8.8999,0.3124,0.1706,0.6288,0.0001,0.246637,1.0,1019871232.0,1019871232.0,0.15122,17.2318,59056128.0,1017643008.0,0.263636,4.6296,220065628.4,1018822656.0,0.228028,3.1481,323465216.0,1018298368.0,0.173913,6.4057,157024256.0,1005846528.0,0.178824,5.8839,173801472.0,1022623744.0,C2,0.263636,C2,C2,C2
