model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,kv_bytes_c0,kv_bytes_fp16_c0,score_c1,cr_c1,kv_bytes_c1,kv_bytes_fp16_c1,score_c2,cr_c2,kv_bytes_c2,kv_bytes_fp16_c2,score_c3,cr_c3,kv_bytes_c3,kv_bytes_fp16_c3,score_c4,cr_c4,kv_bytes_c4,kv_bytes_fp16_c4,score_c5,cr_c5,kv_bytes_c5,kv_bytes_fp16_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
llama32_3b,qmsum,3,rouge_l,26144,96263,7.5928,0.2853,0.0644,0.9999,0.0092,0.145985,1.0,878051328.0,878051328.0,0.164706,31.1262,27844608.0,866697216.0,0.298851,4.654,186029753.0,865779712.0,0.166667,3.294,265026048.0,873005056.0,0.189655,6.646,131547136.0,874266624.0,0.163636,6.6021,132579328.0,875298816.0,C2,0.298851,C1,C1,C1
llama32_3b,qmsum,4,rouge_l,5567,22945,7.3895,0.2929,0.1349,0.9996,0.0139,0.26087,1.0,651657216.0,651657216.0,0.214286,26.4538,24403968.0,645578752.0,0.272727,4.6395,140359754.6,651198464.0,0.269231,3.3261,195235600.0,649363456.0,0.220339,5.128,127188992.0,652230656.0,0.234234,5.1656,126042112.0,651083776.0,C2,0.272727,C2,C2,C2
llama32_3b,qmsum,5,rouge_l,16137,71346,8.5491,0.3307,0.1246,0.9975,0.0024,0.210526,1.0,875757568.0,875757568.0,0.216216,11.482,80027648.0,918880256.0,0.238095,4.6617,188084870.7,876789760.0,0.21875,3.2773,266975744.0,874954752.0,0.273504,6.6608,131203072.0,873922560.0,0.293578,6.7057,130170880.0,872890368.0,C5,0.293578,C1,C1,C1
llama32_3b,qmsum,6,rouge_l,10011,41676,7.5453,0.2723,0.0959,0.9998,0.0142,0.3,1.0,864518144.0,864518144.0,0.236842,33.5386,25780224.0,864632832.0,0.275862,4.6491,186201309.1,865665024.0,0.292683,3.3636,257227264.0,865206272.0,0.263158,7.1268,121225216.0,863944704.0,0.216216,7.1326,121110528.0,863830016.0,C0,0.3,C0,C3,C2
llama32_3b,qmsum,7,rouge_l,29990,143787,9.0664,0.3143,0.1189,0.9999,0.0028,0.38806,1.0,866238464.0,866238464.0,0.377358,34.431,25092096.0,863944704.0,0.470588,4.6637,185102066.8,863256576.0,0.328358,3.3479,258947584.0,866926592.0,0.360656,7.0808,122142720.0,864862208.0,0.356164,6.9358,125124608.0,867844096.0,C2,0.470588,C2,C1,C1
llama32_3b,qmsum,8,rouge_l,18583,70557,7.8168,0.3149,0.0887,0.9932,0.0077,0.211055,1.0,888258560.0,888258560.0,0.176991,29.9344,28991488.0,867844096.0,0.233918,4.6537,189244328.5,880689152.0,0.22619,3.2313,272480768.0,880459776.0,0.220779,6.4604,136019968.0,878739456.0,0.205714,6.4147,137166848.0,879886336.0,C2,0.233918,C4,C4,C4
llama32_3b,qmsum,9,rouge_l,13005,61340,8.4906,0.325,0.1366,0.9892,0.0021,0.324786,1.0,872431616.0,872431616.0,0.246914,35.6998,24174592.0,863027200.0,0.262295,4.6648,186730467.4,871055360.0,0.293103,3.307,263535104.0,871514112.0,0.327586,6.7873,128335872.0,871055360.0,0.266667,6.7411,129368064.0,872087552.0,C4,0.327586,C4,C4,C4
llama32_3b,qmsum,10,rouge_l,10088,40796,7.2656,0.2594,0.0857,0.946,0.0161,0.183486,1.0,869105664.0,869105664.0,0.2,28.8334,30138368.0,868990976.0,0.165289,4.6437,188022607.7,873119744.0,0.245614,3.3181,262273536.0,870252544.0,0.217822,6.7667,128794624.0,871514112.0,0.216667,6.5588,133611520.0,876331008.0,C3,0.245614,C1,C1,C1
llama32_3b,qmsum,11,rouge_l,11253,40990,7.5729,0.3031,0.0953,0.9817,0.0086,0.205882,1.0,877019136.0,877019136.0,0.191781,34.431,25092096.0,863944704.0,0.192982,4.6506,187593524.1,872431616.0,0.211268,3.2588,269154816.0,877133824.0,0.201835,6.8081,127877120.0,870596608.0,0.245902,6.6608,131203072.0,873922560.0,C5,0.245902,C5,C4,C1
llama32_3b,qmsum,12,rouge_l,8231,32494,7.1375,0.2571,0.0858,0.986,0.0146,0.257576,1.0,876789760.0,876789760.0,0.238095,27.813,31285248.0,870137856.0,0.321429,4.6436,188645588.4,875986944.0,0.28125,3.2588,269154816.0,877133824.0,0.245902,6.651,131432448.0,874151936.0,0.306452,6.6559,131317760.0,874037248.0,C2,0.321429,C5,C5,C1
llama32_3b,qmsum,13,rouge_l,12531,52225,7.631,0.2842,0.106,0.9998,0.0152,0.24,1.0,871628800.0,871628800.0,0.238095,31.5031,27500544.0,866353152.0,0.196078,4.6563,186847865.6,870023168.0,0.263158,3.2921,265255424.0,873234432.0,0.269231,6.6411,131661824.0,874381312.0,0.25,6.6708,130973696.0,873693184.0,C4,0.269231,C1,C1,C1
llama32_3b,qmsum,14,rouge_l,18413,66906,7.5093,0.282,0.0679,0.9921,0.0104,0.216667,1.0,874266624.0,874266624.0,0.168675,26.0671,33464320.0,872316928.0,0.201835,4.6504,187626422.1,872546304.0,0.178862,3.2588,269154816.0,877133824.0,0.234234,6.6658,131088384.0,873807872.0,0.192982,6.5445,133955584.0,876675072.0,C4,0.234234,C4,C4,C4
llama32_3b,qmsum,15,rouge_l,13348,50567,6.8193,0.2331,0.07,0.9823,0.0187,0.203125,1.0,874037248.0,874037248.0,0.22,26.9567,32317440.0,871170048.0,0.243478,4.639,188237576.1,873234432.0,0.239316,3.294,265026048.0,873005056.0,0.198198,6.7057,130170880.0,872890368.0,0.234375,6.5972,132694016.0,875413504.0,C2,0.243478,C1,C1,C1
