model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,score_c1,cr_c1,score_c2,cr_c2,score_c3,cr_c3,score_c4,cr_c4,score_c5,cr_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
phi3,gov_report,6,rouge1,9617,46529,8.6552,0.2849,0.1542,0.8959,0.0002,0.418367,1.0,0.216802,11.1727,0.428571,5.8297,0.395939,3.412,0.309456,6.8359,0.290801,6.8359,C2,0.428571,C2,C2,C2
phi3,gov_report,7,rouge1,7469,34367,8.4166,0.29,0.1612,,0.0002,0.300469,1.0,0.282297,11.1727,0.357798,5.829,0.278422,3.412,0.197861,6.8359,0.300752,6.8359,C2,0.357798,C5,C5,C1
phi3,gov_report,8,rouge1,3450,14349,7.895,0.3348,0.2087,,0.0005,0.398936,1.0,0.243626,11.0131,0.433862,5.8187,0.483117,3.412,0.29375,6.7383,0.311526,6.7383,C3,0.483117,C2,C2,C2
phi3,gov_report,9,rouge1,24607,102565,8.852,0.2931,0.1011,,0.0001,0.291161,1.0,0.26055,11.1727,0.283761,5.8135,0.302817,3.412,0.203125,6.8359,0.185111,6.8359,C3,0.302817,C3,C2,C2
phi3,gov_report,10,rouge1,7193,32826,8.6567,0.3445,0.2169,0.2857,0.0002,0.344371,1.0,0.277154,11.1727,0.298387,5.8406,0.273063,3.412,0.272727,6.8359,0.262948,6.8359,C0,0.344371,C0,C0,C0
phi3,gov_report,11,rouge1,4950,19201,8.1364,0.3423,0.1867,,0.0004,0.35,1.0,0.260163,11.1727,0.360313,5.8219,0.37594,3.412,0.237681,6.8359,0.301136,6.8359,C3,0.37594,C2,C2,C2
phi3,gov_report,12,rouge1,7811,38155,8.8445,0.3184,0.2029,,0.0002,0.356383,1.0,0.244898,11.1727,0.397933,5.8164,0.397959,3.412,0.267477,6.8359,0.255072,6.8359,C3,0.397959,C2,C2,C2
phi3,gov_report,13,rouge1,5634,24989,8.2752,0.3122,0.188,,0.0003,0.346667,1.0,0.219101,11.1727,0.415094,5.8103,0.408269,3.412,0.311927,6.8359,0.244776,6.8359,C2,0.415094,C2,C2,C2
phi3,gov_report,14,rouge1,6764,27046,8.7397,0.3681,0.2222,0.9979,0.0003,0.318841,1.0,0.2,11.1727,0.304038,5.839,0.330969,3.412,0.254848,6.8359,0.214689,6.8359,C3,0.330969,C3,C2,C2
phi3,gov_report,15,rouge1,6762,30185,8.8434,0.3677,0.249,0.993,0.0002,0.290909,1.0,0.225108,11.1727,0.261194,5.8392,0.277551,3.412,0.201835,6.8359,0.226891,6.8359,C0,0.290909,C0,C3,C3
phi3,gov_report,16,rouge1,4960,22425,8.5551,0.3415,0.2492,0.9084,0.0003,0.371429,1.0,0.33557,11.1727,0.377358,5.8285,0.315789,3.412,0.35461,6.8359,0.315018,6.8359,C2,0.377358,C2,C4,C1
phi3,gov_report,17,rouge1,20700,95443,8.6994,0.2647,0.105,0.949,0.0001,0.371501,1.0,0.25731,11.1727,0.291317,5.8297,0.336088,3.412,0.233766,6.8359,0.269939,6.8359,C0,0.371501,C0,C0,C3
phi3,gov_report,18,rouge1,5441,22492,8.2413,0.3152,0.1823,,0.0003,0.504792,1.0,0.356061,11.1727,0.486486,5.8311,0.510204,3.412,0.330645,6.8359,0.368421,6.8359,C3,0.510204,C3,C2,C2
phi3,gov_report,19,rouge1,3320,15225,8.3874,0.3663,0.2777,,0.0005,0.362445,1.0,0.25,10.5982,0.373333,5.8294,0.38914,3.412,0.260204,6.4844,0.267717,6.4844,C3,0.38914,C2,C2,C2
phi3,hotpotqa,0,f1,13564,54414,9.3472,0.3765,0.2018,0.9998,0.0039,0.333333,1.0,0.333333,11.1727,0.333333,5.847,0.333333,3.412,0.333333,6.8359,0.333333,6.8359,C0,0.333333,C1,C1,C1
phi3,hotpotqa,1,f1,18986,72455,9.295,0.3635,0.1748,0.9999,0.003,0.333333,1.0,0.333333,11.1727,0.333333,5.8309,0.333333,3.412,0.333333,6.8359,0.333333,6.8359,C0,0.333333,C1,C1,C1
phi3,hotpotqa,2,f1,13323,48472,9.3623,0.4002,0.2114,0.9998,0.0059,0.4,1.0,0.190476,11.1727,0.2,5.8424,0.4,3.412,0.190476,6.8359,0.4,6.8359,C0,0.4,C5,C5,C5
phi3,hotpotqa,3,f1,19618,77553,9.5243,0.3832,0.1946,0.9999,0.0046,0.0,1.0,0.0,11.1727,0.0,5.8209,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,hotpotqa,4,f1,19955,80361,8.0245,0.2523,0.1286,0.9999,0.0402,0.666667,1.0,0.666667,11.1727,0.666667,5.8362,0.666667,3.412,0.666667,6.8359,0.666667,6.8359,C0,0.666667,C1,C1,C1
phi3,hotpotqa,5,f1,5724,19649,8.5988,0.4065,0.2416,0.9995,0.0062,0.666667,1.0,1.0,11.1727,0.666667,5.8417,0.666667,3.412,1.0,6.8359,1.0,6.8359,C1,1.0,C1,C1,C1
phi3,hotpotqa,6,f1,19778,75436,9.3576,0.3785,0.1664,0.9999,0.004,0.0,1.0,0.0,11.1727,0.0,5.8371,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,hotpotqa,7,f1,16188,58965,9.4485,0.3994,0.2006,0.9998,0.005,0.0,1.0,0.0,11.1727,0.0,5.8483,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,hotpotqa,8,f1,11692,42966,9.4947,0.4149,0.2525,0.9998,0.0056,0.0,1.0,0.0,11.1727,0.0,5.8435,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,hotpotqa,9,f1,13815,47315,8.5928,0.3591,0.1527,0.9998,0.0066,0.4,1.0,0.4,11.1727,0.4,5.8228,0.4,3.412,0.4,6.8359,0.4,6.8359,C0,0.4,C1,C1,C1
phi3,hotpotqa,10,f1,18775,67481,9.1655,0.393,0.1847,0.9999,0.0047,0.0,1.0,0.0,11.1727,0.4,5.8522,0.0,3.412,0.0,6.8359,0.0,6.8359,C2,0.4,C1,C1,C1
phi3,hotpotqa,11,f1,19579,76568,9.3464,0.37,0.1813,0.9999,0.0039,0.222222,1.0,0.222222,11.1727,0.222222,5.8243,0.222222,3.412,0.222222,6.8359,0.222222,6.8359,C0,0.222222,C1,C1,C1
phi3,hotpotqa,12,f1,4227,16166,8.9987,0.4285,0.3281,0.9994,0.0067,0.0,1.0,0.0,11.1727,0.0,5.8226,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,hotpotqa,13,f1,16031,61276,9.2292,0.3763,0.1871,0.9999,0.0043,0.222222,1.0,0.222222,11.1727,0.0,5.8241,0.222222,3.412,0.222222,6.8359,0.0,6.8359,C0,0.222222,C1,C1,C1
