model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,kv_bytes_c0,kv_bytes_fp16_c0,score_c1,cr_c1,kv_bytes_c1,kv_bytes_fp16_c1,score_c2,cr_c2,kv_bytes_c2,kv_bytes_fp16_c2,score_c3,cr_c3,kv_bytes_c3,kv_bytes_fp16_c3,score_c4,cr_c4,kv_bytes_c4,kv_bytes_fp16_c4,score_c5,cr_c5,kv_bytes_c5,kv_bytes_fp16_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
llama31_8b,multifieldqa_en,4,qa_f1,7479,33949,9.2387,0.3893,0.2805,0.9997,0.0111,1.0,1.0,983433216.0,983433216.0,1.0,39.5806,24846336.0,983433216.0,1.0,4.6099,213302132.6,983302144.0,1.0,3.4076,288600064.0,983433216.0,1.0,7.3057,134610944.0,983433216.0,1.0,7.3057,134610944.0,983433216.0,C0,1.0,C1,C1,C1
llama31_8b,multifieldqa_en,5,qa_f1,6599,19528,8.42,0.3644,0.177,0.9995,0.0277,0.56,1.0,870973440.0,870973440.0,0.56,33.6349,25894912.0,870973440.0,0.56,4.604,189176429.4,870973440.0,0.56,3.3977,256345728.0,870973440.0,0.56,6.4203,135659520.0,870973440.0,0.56,6.4203,135659520.0,870973440.0,C0,0.56,C1,C1,C1
llama31_8b,multifieldqa_en,6,qa_f1,6288,20826,8.3493,0.3338,0.1625,0.9996,0.0181,0.571429,1.0,831127552.0,831127552.0,0.571429,30.8519,26943488.0,831258624.0,0.444444,4.6226,180106959.6,832569344.0,0.571429,3.3872,245371008.0,831127552.0,0.571429,6.0854,136577024.0,831127552.0,0.444444,6.0323,138018816.0,832569344.0,C0,0.571429,C1,C1,C1
llama31_8b,multifieldqa_en,7,qa_f1,3684,6000,7.881,0.3659,0.1707,,0.0018,1.0,1.0,487718912.0,487718912.0,1.0,19.7335,24715264.0,487718912.0,1.0,4.5641,106858999.1,487718912.0,1.0,3.4041,143271968.0,487718912.0,1.0,3.6267,134479872.0,487718912.0,1.0,3.6267,134479872.0,487718912.0,C0,1.0,C1,C1,C1
llama31_8b,multifieldqa_en,8,qa_f1,4463,21852,8.6743,0.3954,0.3079,0.9996,0.0053,1.0,1.0,589955072.0,589955072.0,0.8,23.5067,25108480.0,590217216.0,1.0,4.5974,128324041.0,589955072.0,0.8,3.4002,173583488.0,590217216.0,0.8,4.3761,134873088.0,590217216.0,0.8,4.3761,134873088.0,590217216.0,C0,1.0,C2,C2,C2
llama31_8b,multifieldqa_en,9,qa_f1,3178,15563,8.257,0.3579,0.2618,0.9994,0.0068,0.0,1.0,421527552.0,421527552.0,0.0,16.9654,24846336.0,421527552.0,0.0,4.5666,92306719.0,421527552.0,0.0,3.4006,123955936.0,421527552.0,0.0,3.1315,134610944.0,421527552.0,0.0,3.1315,134610944.0,421527552.0,C0,0.0,C1,C1,C1
llama31_8b,multifieldqa_en,10,qa_f1,2108,8995,8.0773,0.4297,0.3283,0.999,0.0073,0.714286,1.0,282984448.0,282984448.0,0.4,9.8702,28909568.0,285343744.0,0.714286,4.5433,62286149.9,282984448.0,0.714286,3.3503,84465920.0,282984448.0,0.714286,2.076,136314880.0,282984448.0,0.714286,2.076,136314880.0,282984448.0,C0,0.714286,C2,C2,C2
llama31_8b,multifieldqa_en,11,qa_f1,6202,31240,8.584,0.3354,0.2127,0.9997,0.0046,0.454545,1.0,819724288.0,819724288.0,0.454545,30.7228,26681344.0,819724288.0,0.454545,4.6038,178053111.2,819724288.0,0.454545,3.3888,241892640.0,819724288.0,0.454545,6.0077,136445952.0,819724288.0,0.454545,6.0077,136445952.0,819724288.0,C0,0.454545,C1,C1,C1
llama31_8b,multifieldqa_en,12,qa_f1,4972,21982,8.6984,0.3497,0.2548,0.9996,0.0022,0.139535,1.0,660471808.0,660471808.0,0.181818,25.6491,25632768.0,657457152.0,0.4,4.5994,143371147.1,659423232.0,0.166667,3.3088,200875776.0,664666112.0,0.307692,4.6608,142606336.0,664666112.0,0.3125,4.6608,142606336.0,664666112.0,C2,0.4,C1,C1,C1
llama31_8b,multifieldqa_en,13,qa_f1,14997,56541,8.4065,0.2042,0.0928,0.9998,0.0092,1.0,1.0,983171072.0,983171072.0,1.0,39.992,24584192.0,983171072.0,1.0,4.6183,212884355.9,983171072.0,1.0,3.4098,288337920.0,983171072.0,1.0,7.318,134348800.0,983171072.0,1.0,7.318,134348800.0,983171072.0,C0,1.0,C1,C1,C1
